country,year,uhc,norm_uhc,uhc_log16,country_c
Nigeria,2021.0,38.42341,0.18105849972380017,2.8969359955808027,Nigeria
Benin,2021.0,37.89256,0.17279585325191216,2.7647336520305945,Benin
Guinea-Bissau,2021.0,37.24882,0.16277608111324166,2.6044172978118665,Guinea-Bissau
Angola,2021.0,36.72917,0.1546877619286949,2.4750041908591185,Angola
Ethiopia,2021.0,35.14274,0.1299950799236136,2.0799212787778174,Ethiopia
Niger,2021.0,34.98468,0.12753488608100894,2.040558177296143,Niger
Madagascar,2021.0,34.94375,0.12689781323539465,2.0303650117663143,Madagascar
South Sudan,2021.0,34.17734,0.11496869035224543,1.8394990456359268,South Sudan
Central African Republic,2021.0,32.26192,0.08515529993087619,1.362484798894019,Central African Republic
Papua New Guinea,2021.0,30.39468,0.05609182814380199,0.8974692503008318,Papua New Guinea
Chad,2021.0,29.40162,0.04063491243244627,0.6501585989191403,Chad
Somalia,2021.0,26.79095,0.0,0.0,Somalia
