country,index,year,1_yr_all_hepB,1_yr_1stpolio,1_yr_1stmeasles,1_yr_1rubella,1_yr_dtap,all_vac_avg,norm,norm_vac_withpts_log16
Israel,3732.0,2018,96.18181818,98.0,98.09090909,98.09090909,96.90909091,97.454545454,0.9730058751825712,15.56809400292114
Italy,3777.0,2018,94.45454545,95.44444444,91.18181818,91.18181818,94.72727273,93.39797979599999,0.9021507083414837,14.43441133346374
Jamaica,3806.0,2018,94.54545455,88.22222222,92.27272727,92.27272727,94.81818182,92.42626262600001,0.8851779318582742,14.162846909732387
Japan,3841.090909,2018,95.6,97.66666667,96.36363636,96.36363636,97.63636364,96.726060606,0.9602815857717862,15.36450537234858
Jordan,3902.0,2018,93.36363636,92.66666667,90.45454545,92.45454545,93.36363636,92.460606058,0.8857778012575173,14.172444820120276
Kazakhstan,3943.0,2018,95.18181818,97.55555556,98.27272727,98.27272727,95.27272727,96.91111111000001,0.963513823442854,15.416221175085663
Kenya,3971.0,2018,90.54545455,84.0,91.36363636,89.57142857,90.54545455,89.205194806,0.8289162274920537,13.26265963987286
Kiribati,4023.0,2018,88.90909091,82.88888889,84.36363636,84.36363636,88.54545455,85.81414141399999,0.769685421407762,12.314966742524192
Kuwait,4065.0,2018,96.09090909,98.44444444,96.90909091,96.90909091,96.0,96.87070707000001,0.9628080946967635,15.404929515148217
Kyrgyzstan,4102.0,2018,92.63636364,83.0,95.72727273,95.72727273,92.63636364,91.945454548,0.876779759744864,14.028476155917824
Laos,4130.0,2018,81.72727273,66.44444444,80.36363636,80.36363636,81.72727273,78.12525252399999,0.6353852396643379,10.166163834629407
Latvia,4222.0,2018,96.0,98.11111111,96.45454545,96.45454545,96.09090909,96.62222222,0.9584678628384399,15.335485805415038
Lebanon,4253.0,2018,73.0,89.11111111,77.36363636,77.36363636,74.54545455,78.27676767599999,0.6380317224971107,10.208507559953771
Lesotho,4292.0,2018,87.27272727,64.75,89.63636364,88.71428571,87.27272727,83.52922077800001,0.7297752001684877,11.676403202695804
Libya,4372.0,2018,83.45454545,82.11111111,83.27272727,83.27272727,83.45454545,83.11313131,0.7225074542076112,11.56011926732178
Lithuania,4410.0,2018,92.27272727,95.11111111,91.36363636,91.36363636,92.0,92.42222222,0.8851073589487314,14.161717743179702
Luxembourg,4531.0,2018,95.09090909,99.0,99.0,99.0,99.0,98.21818181799999,0.9863441486234151,15.781506377974642
Malawi,4609.0,2018,90.09090909,89.2,86.54545455,87.28571429,90.09090909,88.642597404,0.8190894587068727,13.105431339309963
Malaysia,4666.0,2018,97.18181818,98.77777778,95.27272727,95.27272727,97.63636364,96.82828282800001,0.9620670795133687,15.393073272213899
Maldives,4706.0,2018,98.63636364,96.66666667,98.63636364,98.45454545,98.63636364,98.206060608,0.9861324300345218,15.778118880552348
Malta,4779.0,2018,95.72727273,98.44444444,94.36363636,94.36363636,98.0,96.179797978,0.9507401329988822,15.211842127982115
Marshall Islands,4836.0,2018,83.27272727,95.77777778,82.0,82.0,81.09090909,84.82828282799998,0.7524656398284868,12.039450237255789
Mauritania,4857.0,2018,79.45454545,68.11111111,78.09090909,81.0,79.45454545,77.22222221999999,0.6196122020145483,9.913795232232772
