INEQ(GINI),ALL 8 ,CRIME MATCH INEQ?!,G.N.I. MATCH?!,HEALTHCARE MATCH?!,HOMICIDE MATCH,UNEMPLOY,TERROR,VACCINE,CRIME,G.N.I,HEALTHCARE,HOMICIDE,UNEMPLOY,TERROR,VACCINE
Finland,6,TRUE,TRUE,TRUE,,,,,Kyrgyzstan,Georgia,Ghana,Guadeloupe,Guatemala,Ghana,Iraq
Hungary,6,TRUE,TRUE,TRUE,,,,,Netherlands,Italy,Jordan,Kazakhstan,Kenya,Jamaica,Malaysia
Iceland,6,TRUE,TRUE,TRUE,,,,,New Zealand,Jamaica,Kazakhstan,Kenya,Kuwait,Japan,Maldives
Indonesia,6,TRUE,TRUE,TRUE,,,,,Nigeria,Jordan,Kiribati,Kosovo,Laos,Kazakhstan,Marshall Islands
Kyrgyzstan,6,TRUE,TRUE,TRUE,,,,,Romania,Madagascar,Malta,Mayotte,Mauritius,Malawi,New Zealand
Libya,6,TRUE,TRUE,TRUE,,,,,Slovakia,Marshall Islands,Moldova,Mongolia,Mozambique,Mauritania,Oman
Malawi,6,FALSE,TRUE,TRUE,,,,,Sri Lanka,Mongolia,Myanmar,Namibia,New Zealand,Mozambique,Paraguay
Mauritania,6,FALSE,TRUE,TRUE,,,,,Tanzania,Nauru,Nicaragua,Niger,Norway,New Hebrides,Romania
Mongolia,6,TRUE,TRUE,TRUE,,,,,Ukraine,Nigeria,Oman,Pakistan,Peru,Norway,Samoa
Nigeria,6,TRUE,TRUE,TRUE,,,,,,Puerto Rico,Saint Kitts and Nevis,Romania,Senegal,Russia,Sri Lanka
North Macedonia,6,TRUE,TRUE,TRUE,,,,,,Romania,Saint Vincent and the Grenadines,Rwanda,Sierra Leone,Saint Kitts and Nevis,Sweden
Oman,6,TRUE,TRUE,TRUE,,,,,,Rwanda,San Marino,Saint Kitts and Nevis,Slovakia,Saudi Arabia,Syria
Saint Lucia,6,FALSE,TRUE,TRUE,,,,,,Somalia,Suriname,South Korea,Togo,Sudan,Uzbekistan
Sierra Leone,6,FALSE,TRUE,TRUE,,,,,,Syria,Trinidad and Tobago,Tanzania,United States,Togo,
South Africa,6,TRUE,TRUE,TRUE,,,,,,Tunisia,United Arab Emirates,Turks and Caicos Islands,Yemen,United Arab Emirates,
Suriname,6,FALSE,TRUE,TRUE,,,,,,Ukraine,Venezuela,United States,,Vatican,
Tajikistan,6,FALSE,TRUE,TRUE,,,,,,Uzbekistan,,Vatican,,Western Sahara,
Turkmenistan,6,FALSE,TRUE,TRUE,,,,,,,,,,,
Ukraine,6,TRUE,TRUE,TRUE,,,,,,,,,,,
Vanuatu,6,FALSE,TRUE,TRUE,,,,,,,,,,,
Venezuela,6,TRUE,FALSE,TRUE,,,,,,,,,,,
Yemen,6,TRUE,FALSE,TRUE,,,,,,,,,,,
