level_0,index,country,year,one_pct_value,country_c,norm_one_pct,one_pct_log16
41,111,Liberia,2022.5,12.0,Liberia,0.7372587827808016,11.796140524492825
42,184,Spain,2022.5,12.025,Spain,0.7360217714002968,11.776348342404749
43,68,France,2022.5,12.1,France,0.7323107372587827,11.716971796140523
44,11,Austria,2022.5,12.2199995,Austria,0.7263731073725879,11.621969717961406
45,141,New Zealand,2022.5,12.239999,New Zealand,0.7253835230084117,11.606136368134587
46,7,Argentina,2022.5,12.36,Argentina,0.7194458189015339,11.511133102424543
47,53,Denmark,2022.5,12.475,Denmark,0.7137555665512123,11.420089064819397
48,96,Italy,2022.5,12.5,Italy,0.7125185551707076,11.400296882731322
49,63,Estonia,2022.5,12.5399995,Estonia,0.7105393617021276,11.368629787234042
50,39,Chad,2022.5,12.630001,Chad,0.7060860465116279,11.297376744186046
51,20,Benin,2022.5,12.639999,Benin,0.7055913409203365,11.289461454725384
52,73,Germany,2022.5,12.7400005,Germany,0.7006432211776348,11.210291538842156
53,60,El Salvador,2022.5,12.77,El Salvador,0.6991588322612567,11.186541316180108
54,171,Senegal,2022.5,12.85,Senegal,0.6952003958436417,11.123206333498267
55,29,Brunei,2022.5,12.8550005,Brunei Darussalam,0.6949529688273133,11.119247501237012
56,120,Maldives,2022.5,13.07999975,Maldives,0.6838199035131123,10.941118456209797
57,172,Serbia,2022.5,13.12,Serbia,0.681840672934191,10.909450766947057
58,34,Cameroon,2022.5,13.13,Cameroon,0.6813458683819891,10.901533894111825
59,98,Japan,2022.5,13.14,Japan,0.6808510638297871,10.893617021276594
60,133,Morocco,2022.5,13.28000075,Morocco,0.6739237629886194,10.782780207817911
61,115,Luxembourg,2022.5,13.4549995,Luxembourg,0.6652647451756556,10.64423592281049
62,12,Azerbaijan,2022.5,13.515,Azerbaijan,0.6622958931222167,10.596734289955467
63,62,Eritrea,2022.5,13.63,Eritrea,0.656605640771895,10.50569025235032
64,65,Ethiopia,2022.5,13.63,Ethiopia,0.656605640771895,10.50569025235032
65,48,Cuba,2022.5,13.71,Cuba,0.6526472043542799,10.442355269668479
66,36,Cape Verde,2022.5,13.77,Cabo Verde,0.6496783770410688,10.3948540326571
67,206,United Kingdom,2022.5,13.7700005,United Kingdom,0.6496783523008411,10.394853636813458
68,138,Nepal,2022.5,13.82,Nepal,0.6472043542800594,10.35526966848095
69,143,Niger,2022.5,13.860001,Niger,0.6452250865907966,10.323601385452745
70,195,Togo,2022.5,13.879999,Togo,0.6442355764473033,10.307769223156853
71,22,Bhutan,2022.5,13.9449995,Bhutan,0.6410193221177635,10.256309153884215
72,161,Romania,2022.5,13.9950005,Romania,0.6385452498762989,10.216723998020782
73,58,Ecuador,2022.5,14.0,Ecuador,0.6382978723404256,10.212765957446809
74,93,Ireland,2022.5,14.04,Ireland,0.636318654131618,10.181098466105889
75,43,Comoros,2022.5,14.07,Comoros,0.6348342404750122,10.157347847600196
76,32,Burundi,2022.5,14.280001,Burundi,0.6244432953983177,9.991092726373083
77,76,Greece,2022.5,14.285,Greece,0.624195942602672,9.987135081642752
78,110,Lesotho,2022.5,14.33,Lesotho,0.6219693221177635,9.951509153884215
79,192,Tajikistan,2022.5,14.485,Tajikistan,0.6142998515586343,9.828797624938149
80,31,Burkina Faso,2022.5,14.5199995,Burkina Faso,0.6125680603661553,9.801088965858485
81,175,Singapore,2022.5,14.5849995,Singapore,0.6093518307768431,9.74962929242949
82,119,Malaysia,2022.5,14.6199995,Malaysia,0.6076200148441365,9.721920237506184
83,174,Sierra Leone,2022.5,14.78,Sierra Leone,0.5997031172686789,9.595249876298862
84,208,Uruguay,2022.5,14.78,Uruguay,0.5997031172686789,9.595249876298862
85,57,East Timor,2022.5,14.96,Timor-Leste,0.590796635329045,9.45274616526472
87,118,Malawi,2022.5,15.0199995,Malawi,0.5878278327560613,9.405245324096981
86,117,Madagascar,2022.5,15.0199995,Madagascar,0.5878278327560613,9.405245324096981
88,145,North Korea,2022.5,15.0200005,North Korea,0.587827783275606,9.405244532409696
