country,year,safe,basic_notshared,limited_shared,unimproved,open_def,atleast_basicsan,country_c,norm_basicsan,basicsan_log32_n
Malawi,2019.5,41.038815,2.8288758166666668,23.489378666666667,28.6757545,3.9671764,67.35706948333333,Malawi,0.6735706779940664,21.554261695810126
Zimbabwe,2019.5,32.680408,2.9018156833333335,29.7887875,16.118374666666668,18.510613833333334,65.37101118333334,Zimbabwe,0.653710095490581,20.918723055698592
Mali,2019.5,14.632893333333334,31.0827275,17.409155333333334,30.884879333333334,5.9903447000000005,63.12477616666666,Mali,0.631247745885473,20.199927868335138
Greenland,2019.5,0.0,62.5,0.0,37.5,0.0,62.5,Greenland,0.6249999843750005,19.999999500000015
Gambia,2019.5,29.563525166666665,17.7321655,14.711641166666666,37.54873116666666,0.4439381633333333,62.00733183333333,Gambia,0.6200733028315008,19.842345690608024
Nigeria,2019.5,30.311561166666667,13.534057500000001,17.741138833333334,19.222503,19.19074,61.586757500000004,Nigeria,0.6158675596033111,19.707761907305954
Cote d'Ivoire,2019.5,16.455741833333335,18.662708,26.15947266666667,15.929525,22.7925525,61.2779225,Cote d'Ivoire,0.6127792096805198,19.608934709776634
Kiribati,2019.5,24.258296,19.915685999999997,15.418336666666667,6.477641333333334,33.93004116666666,59.592318666666664,Kiribati,0.5959231717685873,19.069541496594795
Kenya,2019.5,30.717572666666666,4.786083316666667,23.688670000000002,33.07937366666666,7.72830155,59.19232598333333,Kenya,0.5919232450352523,18.941543841128073
Yemen,2019.5,18.662888166666665,35.15850566666666,4.948552266666667,30.763838000000003,10.466216166666667,58.7699461,Yemen,0.5876994463075139,18.806382281840445
Somalia,2019.5,30.95153133333333,7.678314100000001,16.9355855,20.285113,24.149455833333334,55.56543093333333,Somalia,0.555654295441976,17.78093745414323
Sierra Leone,2019.5,13.6932715,6.895308466666666,33.738236666666666,28.239112000000002,17.434071499999998,54.32681663333333,Sierra Leone,0.5432681527516295,17.384580888052145
Burkina Faso,2019.5,9.078296166666666,14.093346333333335,30.613520833333336,8.408961,37.80587716666667,53.78516333333334,Burkina Faso,0.5378516198870429,17.211251836385372
Sao Tome and Principe,2019.5,32.33503216666667,13.237665166666666,5.657672366666667,4.332151533333334,44.437478999999996,51.230369700000004,Sao Tome and Principe,0.512303684192408,16.393717894157056
Tanzania,2019.5,24.061532333333332,5.125821583333333,17.899479666666668,45.979299833333336,6.93386605,47.08683358333333,Tanzania,0.4708683240616252,15.067786369972007
Togo,2019.5,5.6094172,12.811117833333334,26.840988333333332,12.754134333333333,41.98434233333333,45.261523366666665,Togo,0.45261522235128615,14.483687115241157
Guinea-Bissau,2019.5,14.08860625,11.384877333333334,16.630801666666667,47.39242166666667,10.5032915,42.104285250000004,Guinea-Bissau,0.421042841973929,13.473370943165728
Benin,2019.5,2.59734715,16.095344666666666,19.7021495,10.9968655,50.60829483333333,38.39484131666667,Benin,0.3839484035679566,12.286348914174612
Uganda,2019.5,17.40945616666667,3.0981958333333335,16.621357166666666,57.98292433333333,4.888067883333334,37.12900916666666,Uganda,0.3712900823844146,11.881282636301266
Democratic Republic of Congo,2019.5,13.493555,2.9433856333333335,18.050608166666667,53.588083833333336,11.9243675,34.4875488,DR Congo,0.344875479378113,11.036015340099617
Congo,2019.0,0.0,0.0,34.0572148,37.0296356,8.5490956,34.0572148,Congo Republic,0.3405721394856965,10.898308463542287
Madagascar,2019.5,11.260305,2.1756911833333334,19.96167983333333,32.0172405,34.58508366666667,33.397676016666665,Madagascar,0.3339767518172479,10.687256058151933
Nauru,2019.0,0.0,0.0,30.884468,0.59733987,2.5861483,30.884468,Nauru,0.3088446722788832,9.883029512924262
Central African Republic,2019.5,13.848078749999999,0.5300446583333334,15.5228035,45.021697499999995,25.077376333333333,29.900926908333332,Central African Republic,0.2990092616081018,9.568296371459258
Gabon,2019.5,0.0,0.0,28.790053999999998,19.5102835,2.0222902333333335,28.790053999999998,Gabon,0.2879005328024867,9.212817049679574
Haiti,2019.5,0.0,0.0,28.236861166666667,16.684983833333334,18.518339333333333,28.236861166666667,Haiti,0.28236860460745156,9.03579534743845
Guinea,2019.5,0.0,0.0,27.78244583333333,34.54265916666667,9.438499666666667,27.78244583333333,Guinea,0.27782445138772205,8.890382444407106
Liberia,2019.5,0.0,0.0,25.7583005,15.672314,37.50657566666667,25.7583005,Liberia,0.25758299856042505,8.242655953933602
Vanuatu,2019.5,0.0,0.0,25.302957333333335,26.450703833333336,0.18001021333333334,25.302957333333335,Vanuatu,0.2530295670075942,8.096946144243015
Niger,2019.5,7.5161671666666665,7.563445649999999,9.269684666666667,8.471892833333333,67.17880933333333,24.34929748333333,Niger,0.2434929687460091,7.791774999872291
Eswatini,2019.5,0.0,0.0,21.73581,12.5394195,1.68992038,21.73581,Eswatini,0.21735809456604765,6.955459026113525
Angola,2019.5,0.0,0.0,20.8653905,9.476305333333334,18.29986316666667,20.8653905,Angola,0.2086538997836525,6.67692479307688
Zambia,2019.5,0.0,0.0,20.755097333333335,36.245185666666664,7.5197319333333335,20.755097333333335,Zambia,0.20755096814455917,6.6416309806258935
Northern Mariana Islands,2019.5,0.0,0.0,18.975747000000002,1.0703568966666668,0.1605928,18.975747000000002,Northern Mariana Islands,0.1897574652560634,6.072238888194029
Chad,2019.5,10.516938083333335,1.8952680333333334,5.391101816666667,18.618530333333332,63.578161,17.803307933333336,Chad,0.1780330748825065,5.697058396240208
Bolivia,2019.5,0.0,0.0,17.53629116666667,7.268600233333333,10.560851166666668,17.53629116666667,Bolivia,0.17536290728259402,5.6116130330430085
Cameroon,2019.5,0.0,0.0,17.119519166666667,35.695509333333334,4.663256716666667,17.119519166666667,Cameroon,0.171195187386787,5.478245996377184
Ethiopia,2019.5,6.781737166666666,1.9838717833333337,7.926111683333333,61.191655999999995,22.116622500000002,16.691720633333333,Ethiopia,0.1669172021604033,5.341350469132905
