country,year,equal_rights,country_c,norm_equal_rights,equal_rights_log8
Spain,2021.5,0.878,Spain,0.8905373620408902,7.124298896327121
Portugal,2021.5,0.8691666666666666,Portugal,0.880948073095712,7.047584584765696
Niger,2021.5,0.8658333333333333,Niger,0.8773294734937579,7.018635787950063
Singapore,2021.5,0.859,Singapore,0.8699113443097521,6.959290754478017
Israel,2021.5,0.8570000000000001,Israel,0.8677401845485798,6.9419214763886385
France,2021.5,0.8498333333333333,France,0.8599601954043785,6.879681563235028
Mali,2021.5,0.8405,Mali,0.8498281165189072,6.798624932151258
Georgia,2021.5,0.8388333333333332,Georgia,0.84801881671793,6.78415053374344
Lithuania,2021.5,0.8334999999999999,Lithuania,0.8422290573548036,6.737832458838429
South Korea,2021.5,0.8303333333333333,South Korea,0.8387913877329473,6.710331101863578
Cape Verde,2021.5,0.8301666666666666,Cabo Verde,0.8386104577528496,6.708883662022797
Mauritius,2021.5,0.8215,Mauritius,0.8292020987877692,6.6336167903021535
Gambia,2021.5,0.8191666666666667,Gambia,0.8266690790664013,6.61335263253121
United Kingdom,2021.5,0.8028333333333334,United Kingdom,0.8089379410168266,6.471503528134613
Mongolia,2021.5,0.7988333333333334,Mongolia,0.8045956214944817,6.436764971955854
Serbia,2021.5,0.7944999999999999,Serbia,0.7998914420119413,6.39913153609553
Croatia,2021.5,0.7941666666666668,Croatia,0.7995295820517461,6.3962366564139685
Chile,2021.5,0.7915000000000001,Chile,0.7966347023701829,6.373077618961463
Trinidad and Tobago,2021.5,0.7903333333333333,Trinidad and Tobago,0.7953681925094989,6.362945540075991
West Bank,2021.5,0.7866666666666666,Palestine,0.7913877329473493,6.331101863578795
Slovakia,2021.5,0.7863333333333333,Slovakia,0.791025872987154,6.328206983897232
Montenegro,2021.5,0.7836666666666666,Montenegro,0.7881309933055907,6.305047946444725
Senegal,2021.5,0.7806666666666667,Senegal,0.7848742536638321,6.278994029310657
Uruguay,2021.5,0.7746666666666666,Uruguay,0.7783607743803148,6.2268861950425185
