index,country,year,internet,norm_internet,norm_internet_log8
120,Dominican Republic,2020.0,9.387494286,0.16612654592336049,1.3290123673868839
121,Antigua and Barbuda,2019.8,9.351854,0.1654957833010038,1.3239662664080305
122,Algeria,2020.0,9.070012857,0.16050775210376064,1.2840620168300851
123,Venezuela,2019.5,8.991531667,0.159118790151826,1.272950321214608
124,El Salvador,2019.5,8.91691,0.15779813412898872,1.2623850730319097
125,Peru,2020.0,8.599957143,0.15218869498911353,1.2175095599129082
126,Egypt,2020.0,8.458832857,0.1496910740464655,1.197528592371724
127,Paraguay,2020.0,8.423177143,0.14906003837900092,1.1924803070320074
128,Sri Lanka,2020.0,8.105542857,0.1434385392926093,1.1475083143408744
129,Belize,2019.5,7.886826667,0.13956769500263222,1.1165415600210578
130,Palestine,2020.0,7.686837143,0.13602827568927167,1.0882262055141734
131,Lebanon,2020.5,7.4182375,0.1312745928713859,1.0501967429710872
132,Syria,2020.0,7.169924286,0.12687993975248438,1.015039518019875
133,Palau,2022.5,7.163545,0.12676703899837363,1.014136311986989
134,Bolivia,2019.5,7.076495,0.12522642604492695,1.0018114083594156
135,Philippines,2020.0,6.014881429,0.10643796402267086,0.8515037121813669
136,Bangladesh,2020.0,5.957288571,0.10541868426321291,0.8433494741057033
137,Jordan,2020.0,5.388977143,0.09536069520441241,0.7628855616352993
138,Morocco,2019.5,5.23718,0.09267418578681336,0.7413934862945069
139,Cape Verde,2020.0,4.920798571,0.08707485979316174,0.6965988783452939
140,Micronesia (country),2019.8,4.917142,0.08701014571334788,0.696081165706783
141,Kyrgyzstan,2020.0,4.723437143,0.08358195258480407,0.6686556206784325
142,Tonga,2019.5,4.683255,0.08287080807012231,0.6629664645609785
143,Libya,2019.8,4.635506,0.08202574514175787,0.6562059611340629
144,Tuvalu,2020.0,4.3594,0.07713921464061656,0.6171137171249325
145,Nicaragua,2020.0,4.152002857,0.07346869511145362,0.587749560891629
146,Guatemala,2020.333333,3.955673333,0.06999405056442981,0.5599524045154385
147,Indonesia,2020.0,3.920304286,0.06936808833629352,0.5549447066903481
148,Honduras,2020.0,3.849231429,0.06811023923655012,0.5448819138924009
149,Nepal,2019.5,3.628431667,0.06420251984016706,0.5136201587213365
150,Botswana,2020.0,3.193437143,0.05650397649320813,0.45203181194566505
152,Turkmenistan,2019.5,3.028423333,0.053583558191271426,0.4286684655301714
153,Namibia,2020.0,2.934417143,0.051919834423113244,0.41535867538490595
154,South Africa,2020.0,2.481634286,0.04390647273910637,0.35125178191285095
155,Marshall Islands,2019.5,2.26651,0.0400991980508517,0.3207935844068136
156,Fiji,2019.5,2.219656667,0.03926998665818139,0.31415989326545113
158,Eswatini,2020.0,2.147294286,0.03798931553226704,0.3039145242581363
159,Cameroon,2019.5,1.987605,0.03516313078168402,0.28130504625347214
160,Djibouti,2020.0,1.925285714,0.03406020258798903,0.27248162070391224
161,Cuba,2020.0,1.916965143,0.033912944926154764,0.2713035594092381
162,Tanzania,2020.0,1.882384286,0.0333009321032313,0.2664074568258504
163,Guam,2020.5,1.8438975,0.03261979205672779,0.2609583364538223
164,Kuwait,2020.0,1.83036,0.03238020506238793,0.25904164049910344
165,Gabon,2019.5,1.7647135,0.03121839175683437,0.24974713405467497
166,India,2019.5,1.658588333,0.02934018604785226,0.2347214883828181
167,Cambodia,2019.5,1.552294,0.02745898643501165,0.2196718914800932
168,Vanuatu,2020.5,1.44797025,0.025612662246589667,0.20490129797271733
169,Laos,2019.5,1.3667625,0.024175445571457444,0.19340356457165955
170,Zimbabwe,2020.0,1.356732857,0.0239979407130514,0.1919835257044112
171,Sao Tome and Principe,2020.0,1.349770143,0.023874714436434002,0.19099771549147201
172,Kenya,2020.0,1.337349714,0.023654897391003044,0.18923917912802435
173,Myanmar,2020.0,1.321726857,0.023378403699285125,0.187027229594281
174,Senegal,2020.0,1.158798857,0.020494900111931176,0.1639592008954494
175,Yemen,2019.5,1.130331667,0.019991087111790706,0.15992869689432565
176,Pakistan,2020.0,1.111927857,0.019665376048278106,0.15732300838622484
177,Bhutan,2020.0,1.073303286,0.01898179747959435,0.1518543798367548
178,Cote d'Ivoire,2020.0,0.941850857,0.016655349290284404,0.13324279432227523
179,Samoa,2019.5,0.818782,0.014477273755992873,0.11581819004794298
180,Togo,2020.0,0.706239571,0.012485495192756184,0.09988396154204947
181,Somalia,2019.8,0.6680866,0.011810263011997129,0.09448210409597703
182,Congo,2022.0,0.653587667,0.011553660553743763,0.0924292844299501
183,Mali,2019.5,0.648527117,0.011464098820469039,0.09171279056375231
186,Zambia,2020.0,0.405331143,0.007160010735799506,0.05728008588639605
187,Angola,2020.0,0.364706714,0.00644103863305654,0.05152830906445232
188,Ghana,2020.0,0.351477429,0.006206906435057254,0.04965525148045803
189,Mauritania,2019.5,0.3232335,0.00570704471336135,0.0456563577068908
190,Lesotho,2020.0,0.293954,0.005188855431679073,0.04151084345343258
191,Haiti,2019.5,0.282529833,0.004986670254625217,0.03989336203700174
192,Ethiopia,2019.8,0.24480306,0.004318980936123865,0.03455184748899092
193,Liberia,2019.8,0.2356016,0.004156133279988063,0.03324906623990451
