year,male_unemploy,female_unemploy,m_f_unemploy,norm_unemploy,unemploy_norm_withpts,unemploy_norm_withpts_log5,unemploy_log16_n
2021.0,5.6686,7.2092,12.8778,0.8214856195549876,4.107428097774938,13.143769912879801,13.143769912879801
2021.0,6.039,6.8438,12.8828,0.8214136669631114,4.1070683348155566,13.142618671409782,13.142618671409782
2021.0,6.0542,6.887600000000001,12.9418,0.8205646263789714,4.102823131894857,13.129034022063543,13.129034022063543
2021.0,6.895999999999999,6.4898,13.3858,0.8141752362203591,4.070876181101796,13.026803779525746,13.026803779525746
2021.0,8.0084,5.5314,13.5398,0.8119590963905702,4.059795481952851,12.991345542249123,12.991345542249123
2021.0,3.9433999999999996,9.694199999999999,13.637599999999999,0.8105517036934704,4.052758518467352,12.968827259095526,12.968827259095526
2021.0,7.5531999999999995,6.346,13.8992,0.8067871440865042,4.033935720432521,12.908594305384067,12.908594305384067
2021.0,6.514799999999999,7.457599999999999,13.972399999999999,0.8057337581414358,4.0286687907071785,12.891740130262972,12.891740130262972
2021.0,8.096,5.9954,14.0914,0.8040212864547807,4.020106432273903,12.86434058327649,12.86434058327649
2021.0,5.4566,8.678799999999999,14.135399999999999,0.8033881036462696,4.016940518231348,12.854209658340313,12.854209658340313
2021.0,6.6354,7.519799999999999,14.155199999999999,0.8031031713824395,4.015515856912197,12.849650742119032,12.849650742119032
2021.0,7.789199999999999,6.4614,14.250599999999999,0.8017303159294404,4.008651579647202,12.827685054871047,12.827685054871047
2021.0,7.6370000000000005,6.6992,14.336200000000002,0.8004984875565186,4.0024924377825934,12.807975800904298,12.807975800904298
2021.0,8.4336,5.9422,14.3758,0.7999286230288587,3.9996431151442935,12.79885796846174,12.79885796846174
2021.0,5.6902,9.0454,14.735600000000002,0.7947509145174427,3.9737545725872137,12.716014632279084,12.716014632279084
2021.0,7.547,8.01,15.556999999999999,0.78293054272401,3.91465271362005,12.52688868358416,12.52688868358416
2021.0,7.889799999999999,7.677,15.566799999999999,0.7827895156439325,3.9139475782196627,12.52463225030292,12.52463225030292
2021.0,5.606,10.3458,15.9518,0.77724916606946,3.8862458303473,12.43598665711136,12.43598665711136
2021.0,5.8636,11.3468,17.2104,0.7591372596423668,3.795686298211834,12.146196154277868,12.146196154277868
2021.0,7.9506,9.4894,17.439999999999998,0.7558331966234088,3.7791659831170437,12.09333114597454,12.09333114597454
2021.0,10.0124,7.5932,17.6056,0.7534501267804669,3.7672506339023344,12.05520202848747,12.05520202848747
2021.0,8.8036,8.9496,17.7532,0.7513260862682796,3.7566304313413976,12.021217380292473,12.021217380292473
2021.0,8.039,9.8672,17.9062,0.7491243369568659,3.7456216847843296,11.985989391309854,11.985989391309854
2021.0,8.013,9.9978,18.0108,0.7476190887348144,3.738095443674072,11.96190541975703,11.96190541975703
2021.0,7.593199999999999,10.4618,18.055,0.7469830278226282,3.7349151391131405,11.95172844516205,11.95172844516205
2021.0,8.7342,9.4634,18.1976,0.7449309399023171,3.7246546995115852,11.918895038437073,11.918895038437073
2020.75,9.298333333333334,9.025,18.323333333333334,0.743121572058602,3.7156078602930096,11.889945152937631,11.889945152937631
2021.0,8.9378,9.885,18.8228,0.7359339878141089,3.6796699390705445,11.774943805025742,11.774943805025742
2021.0,7.6882,11.351400000000002,19.0396,0.7328141234303541,3.6640706171517707,11.725025974885666,11.725025974885666
2021.0,6.2468,14.2786,20.5254,0.7114326912284034,3.5571634561420167,11.382923059654454,11.382923059654454
2021.0,3.0716,17.7058,20.7774,0.7078062805978396,3.539031402989198,11.324900489565433,11.324900489565433
2021.0,9.4994,11.3346,20.834,0.7069917772578003,3.5349588862890013,11.311868436124804,11.311868436124804
