country_c,pm25,pol_log32_n,atleast_basicsan,basicsan_log32_n,basicw,norm_water,water_log32_n,calorie,calorie_log32_n,avg_life,lifeexpect_log32_n,pswcl_pts
Montenegro,21.857828,23.240052788298247,97.87758384,31.320826045779352,98.46999628571427,0.976219918758736,31.239037400279557,5.0,29.96954314720812,76.25,24.67684848,140.44630786156526
Lebanon,24.090224,22.044664297888893,99.311051055,31.77953554311161,92.29734714285712,0.8802815254591552,28.169008814692965,0.0,32.0,77.56,25.693090912,139.68629956769348
Jordan,25.44272,21.32043877888389,98.85426036666668,31.633362526499276,98.94903142857144,0.9836653220007024,31.477290304022475,3.2,30.7005076142132,75.78,24.312242432,139.44384165561885
Poland,21.446436,23.460342227020806,99.97255823333332,31.991217834886218,91.92991657142856,0.8745707361600752,27.98626355712241,4.9,30.01015228426396,77.42,25.584484864,139.03246076729337
Suriname,12.817692,28.080804396048517,95.67443763333333,30.615819277271186,97.34974571428572,0.9588084253418192,30.68186961093821,8.7,28.467005076142133,71.33,20.860121216,138.70561957640004
Algeria,22.858182,22.704389913998632,96.37667483333334,30.84053517565329,94.20887642857144,0.9099914675232912,29.11972696074532,0.7,31.715736040609137,75.25,23.901090912,138.28147900300638
Tunisia,26.717788,20.637673887847857,98.3296902,31.465500077362496,96.07825285714286,0.9390462488462804,30.049479963080973,0.3,31.878172588832488,75.09,23.776969696,137.80779621312382
Mexico,20.004454,24.232485111248096,98.15890811666668,31.410849812062093,98.991258,0.9843216284460632,31.49829211027402,9.9,27.97969543147208,73.62,22.636606048,137.7579285130563
Serbia,24.427786,21.86390885414165,97.90009586833334,31.328029894665924,94.85876071428572,0.9200922934019534,29.44295338886251,3.5,30.578680203045685,75.43,24.040727264,137.25429960471575
Brazil,12.199932,28.411598392201206,89.68922983916667,28.700552831019515,98.93226857142858,0.9834047853098624,31.4689531299156,17.8,24.77157360406091,74.97,23.683878784,137.03655674119724
Vietnam,20.784824,23.81461779905942,90.14685215,28.846991966825204,95.80466785714285,0.9347940542498584,29.913409735995465,1.9,31.228426395939085,74.24,23.117575744,136.92102164181918
Ecuador,16.73258,25.984486334001414,97.82126391666668,31.302803670763243,94.92816485714286,0.9211710072248108,29.47747223119395,15.4,25.746192893401016,75.8,24.327757568,136.83871269735963
Bosnia and Herzegovina,30.012342,18.87352813027075,95.96934204,30.710188685045285,96.12309785714284,0.939743252215166,30.071784070885307,1.0,31.593908629441625,76.94,25.212121216,136.46153073164297
Guyana,11.628016,28.717844149621016,97.87258166666668,31.319225350352703,94.91614857142858,0.9209842441157832,29.471495811705065,9.0,28.34517766497462,68.04,18.307878784,136.1616217606534
United Arab Emirates,42.997288,11.920436027889725,99.79329315,31.93385300965368,99.98963357142856,0.9998388797940108,31.994844153408344,2.1,31.14720812182741,81.82,28.997818176,135.9941594887792
Palestine,30.386114,18.67338319772416,99.64649111,31.886876358028093,97.57817357142858,0.9623587650893022,30.79548048285767,1.4,31.431472081218278,73.96,22.900363648,135.6875757678282
Azerbaijan,27.517796,20.209290950664936,98.80765003333332,31.61844722020549,95.58092714285716,0.9313165644156742,29.802130061301572,0.0,32.0,72.47,21.744484864,135.374353096172
North Macedonia,28.443462,19.71362150744641,98.99082275666666,31.67706249020677,97.71926714285712,0.9645517117860084,30.86565477715227,8.9,28.385786802030456,75.83,24.351030304,134.9931558808359
Colombia,15.77876,26.495231492979592,96.2193415,30.79018851024529,96.91836842857144,0.9521037442981456,30.467319817540652,24.4,22.09137055837564,75.96,24.451878784,134.2959891631412
Morocco,13.594458,27.66486692969339,88.3816921,28.28214076494648,84.55382071428572,0.759927773474134,24.317688751172287,2.1,31.14720812182741,73.6,22.621090912,134.03299547963957
Chile,22.509624,22.891033422336807,99.99999751666664,31.99999840533337,99.95752,0.9993397546413146,31.97887214852207,31.7,19.12690355329949,79.97,27.562666656,133.55947418549172
Bhutan,27.597394,20.166668345598627,85.53846066666667,27.372306729025667,98.81765057142856,0.9816233351563354,31.41194672500273,0.9,31.634517766497463,71.65,21.108363648,131.6938032141245
Honduras,21.145548,23.62145972234972,90.974444,29.11182135220447,94.58961428571428,0.9159090852976434,29.309090729524588,19.5,24.081218274111677,71.51,20.999757568,127.12334764619044
Fiji,7.408918,30.977058549355263,99.6205787,31.878584387035392,95.3834242857143,0.928246876450615,29.70390004641968,36.5,17.17766497461929,66.69,17.260606048,126.99781400542962
China,44.994072,10.851211476585403,94.46764198333332,30.22964467892555,95.39253842857144,0.928388533007108,29.70843305622746,4.7,30.091370558375637,77.5,25.64654544,126.52720521011405
