country_c_x,gdp,country,year_x,access_electricity,norm_access_electricity,norm_with_pts,norm_pts_log5,country_c_y,renew,year_y,happiness,norm_hap,happiness_log4_n,country_c
Mongolia,15383.5176,Mongolia,2017,92.70909091,0.9227211408845636,4.613605704422818,29.52707650830603,Mongolia,9.8123979,2022.0,5.7614,0.6513259725518522,2.605303890207409,Mongolia
Paraguay,15352.2823,Paraguay,2017,99.25454545454544,0.99209867026402,4.9604933513201,31.74715744844864,Paraguay,100.0,2022.0,5.823600000000001,0.662023183022048,2.648092732088192,Paraguay
Peru,15040.7556,Peru,2017,94.34545454545454,0.9400655232222008,4.700327616111004,30.082096743110423,Peru,61.613888,2022.0,5.7426,0.6480927320881917,2.592370928352767,Peru
Moldova,15001.7944,Moldova,2017,99.8818181818182,0.9987473501638084,4.993736750819042,31.959915205241867,Moldova,6.8185934,2022.0,5.8154,0.6606129398410895,2.642451759364358,Moldova
Iran,14926.6152,Iran,2017,99.92727272727274,0.9992291385623436,4.996145692811718,31.975332433994996,Iran,5.88130934,2022.0,4.9002,0.5032160423760877,2.012864169504351,Iran
Algeria,14766.3486,Algeria,2017,99.47272727272728,0.99441125457699,4.97205627288495,31.82116014646368,Algeria,0.902299354,2022.0,5.2546,0.5641660647336015,2.256664258934406,Algeria
Sri Lanka,13823.8324,Sri Lanka,2017,96.23636363636363,0.960107920601272,4.80053960300636,30.7234534592407,Sri Lanka,41.0564606,2022.0,4.1836,0.3799745468303924,1.5198981873215698,Sri Lanka
South Africa,13763.179999999998,South Africa,2017,85.94545454545454,0.8510310271728656,4.255155135864328,27.2329928695317,South Africa,6.572780740000001,2022.0,5.212000000000001,0.5568396794276477,2.2273587177105907,South Africa
Ecuador,13710.734,Ecuador,2017,98.87272727272726,0.9880516477163228,4.940258238581614,31.61765272692233,Ecuador,78.457637,2022.0,5.7092,0.6423485708389226,2.5693942833556904,Ecuador
Iraq,13314.8702,Iraq,2017,99.67272727272729,0.9965311235305456,4.982655617652728,31.888995952977456,Iraq,3.84733508,2022.0,4.9756,0.5161834004058748,2.0647336016234994,Iraq
Indonesia,13025.5162,Indonesia,2017,97.84545454545454,0.9771632299094236,4.885816149547119,31.26922335710156,Indonesia,17.841974999999998,2022.0,5.4094,0.5907887042960822,2.363154817184329,Indonesia
Lebanon,12810.38225,Lebanon,2017,99.80909090909093,0.9979764887261516,4.989882443630759,31.93524763923685,Lebanon,6.55475946,2022.0,3.1652,0.2048292229904034,0.8193168919616137,Lebanon
Tunisia,12525.0876,Tunisia,2017,99.86363636363636,0.998554634804394,4.99277317402197,31.953748313740604,Tunisia,3.62455974,2022.0,4.5166,0.4372441784473565,1.748976713789426,Tunisia
Vietnam,12390.209599999998,Vietnam,2017,99.39090909090908,0.993544035459626,4.96772017729813,31.793409134708032,Vietnam,40.3664408,2022.0,5.8108,0.6598218278127472,2.639287311250989,Vietnam
Libya,12177.0382,Libya,2017,72.09090909,0.7041819232896511,3.520909616448256,22.53382154526884,Libya,0.0314588476,2022.0,5.6065000000000005,0.6246861349017989,2.498744539607196,Libya
Guatemala,11788.424,Guatemala,2017,92.65454545454546,0.9221429947966852,4.610714973983426,29.50857583349393,Guatemala,68.927079,2022.0,6.2992,0.7438172875176279,2.9752691500705115,Guatemala
Belize,11707.6416,Belize,2017,93.66363636363636,0.9328386972441702,4.664193486220851,29.850838311813447,Belize,84.830456,2024.0,6.711,0.8146390121418499,3.2585560485673994,Belize
El Salvador,10703.8714,El Salvador,2017,96.72727272727272,0.9653112353054536,4.826556176527268,30.88995952977452,El Salvador,81.7822332,2022.0,6.2528,0.7358373748839127,2.9433494995356506,El Salvador
Namibia,10045.7266,Namibia,2017,51.39090909090908,0.4847754866062824,2.423877433031412,15.512815571401038,Namibia,97.0211322,2022.0,4.6814,0.4655866267671034,1.8623465070684135,Namibia
Eswatini,9875.8607,Eswatini,2017,70.36363636363636,0.6858739641549431,3.429369820774715,21.947966852958174,Eswatini,93.258767,2022.0,3.995,0.347538953668352,1.390155814673408,Eswatini
Jamaica,9866.9821,Jamaica,2017,96.90909091,0.9672383889092312,4.836191944546155,30.951628445095395,Jamaica,13.5975972,2022.0,5.9148,0.6777078388883154,2.7108313555532617,Jamaica
Bolivia,9593.2162,Bolivia,2017,93.50909091,0.9312006166987858,4.656003083493929,29.798419734361147,Bolivia,35.0810602,2022.0,5.7304,0.645994565404327,2.583978261617308,Bolivia
Uzbekistan,9269.0858,Uzbekistan,2017,99.90909091,0.999036423212565,4.995182116062825,31.96916554280208,Uzbekistan,8.15005554,2022.0,6.1288,0.7145117462938121,2.8580469851752484,Uzbekistan
Philippines,9224.686,Philippines,2017,92.42727272727274,0.9197340528040086,4.5986702640200425,29.431489689728277,Philippines,21.922986,2022.0,5.8924,0.6738554672720393,2.695421869088157,Philippines
Jordan,9224.5652,Jordan,2017,99.86363636363636,0.998554634804394,4.99277317402197,31.953748313740604,Jordan,17.961641800000002,2022.0,4.2326,0.3884016097409967,1.5536064389639868,Jordan
Morocco,8596.1592,Morocco,2017,98.51818181818182,0.9842936982077471,4.921468491038736,31.49739834264791,Morocco,19.3546382,2022.0,4.8596,0.4962336188215869,1.984934475286348,Morocco
India,8216.87838,India,2017,91.30909090909093,0.9078820582000388,4.539410291000194,29.05222586240124,India,19.0568308,2022.0,4.015,0.3509785711828843,1.4039142847315371,India
Laos,8141.29884,Laos,2017,91.00909090909092,0.9047022547697052,4.523511273848526,28.950472152630567,Laos,69.3393444,2022.0,5.1442,0.5451793760533827,2.180717504213531,Laos
Bangladesh,7485.03102,Bangladesh,2017,81.90909091,0.8082482173925613,4.041241086962806,25.86394295656196,Bangladesh,1.45670762,2022.0,4.4398,0.4240360471915522,1.696144188766209,Bangladesh
Nicaragua,7007.0258,Nicaragua,2017,84.22727272727273,0.832819425708229,4.164097128541145,26.650221622663327,Nicaragua,64.66864100000001,2022.0,6.202,0.7271007463970006,2.9084029855880025,Nicaragua
Ghana,6610.83662,Ghana,2017,78.04545454545455,0.7672962035074196,3.836481017537098,24.553478512237422,Ghana,37.8319928,2022.0,4.6388,0.4582602414611494,1.8330409658445976,Ghana
Cambodia,6390.10548,Cambodia,2017,72.34545454545454,0.706879938331085,3.534399691655425,22.62015802659472,Cambodia,51.6277856,2022.0,4.509,0.4359371237918343,1.7437484951673374,Cambodia
Honduras,6178.2306,Honduras,2017,90.17272727272729,0.8958373482366546,4.479186741183273,28.666795143572948,Honduras,60.4728016,2022.0,5.9792000000000005,0.68878340728511,2.75513362914044,Honduras
Cote d'Ivoire,6094.9496,Cote d'Ivoire,2017,65.34545454545454,0.6326845249566391,3.163422624783196,20.24590479861245,Cote d'Ivoire,29.6894762,2022.0,5.1552,0.5470711656863756,2.1882846627455024,Cote d'Ivoire
Mauritania,6054.796899999999,Mauritania,2017,42.45454545454545,0.3900558874542301,1.9502794372711505,12.481788398535365,Mauritania,29.8170984,2022.0,4.4302,0.4223850307845767,1.689540123138307,Mauritania
Palestine,5684.57544,Palestine,2017,99.94545454545457,0.9994218539217578,4.997109269608789,31.981499325496248,Palestine,19.1163314,2022.0,4.7134,0.4710900147903552,1.884360059161421,Palestine
Myanmar,5676.57708,Myanmar,2017,63.7,0.6152437849296589,3.0762189246482947,19.687801117749085,Myanmar,52.3745358,2022.0,4.3734,0.4126165170433047,1.650466068173219,Myanmar
Nigeria,5535.29314,Nigeria,2017,56.02727272727272,0.5339179032568895,2.6695895162844474,17.085372904220463,Nigeria,22.9605402,2022.0,4.8116,0.4879785367867093,1.9519141471468373,Nigeria
Pakistan,5352.74156,Pakistan,2017,92.29090909,0.9182886875987666,4.591443437993833,29.38523800316053,Pakistan,26.3962864,2022.0,4.686,0.4663777387954458,1.8655109551817837,Pakistan
Kenya,5348.52992,Kenya,2017,56.32727272727273,0.537097706687223,2.685488533436115,17.187126613991136,Kenya,91.627621,2022.0,4.5234000000000005,0.4384136484022977,1.7536545936091907,Kenya
Cameroon,4830.7229800000005,Cameroon,2017,61.24545454545455,0.5892272114087493,2.9461360570437467,18.85527076507998,Cameroon,61.66567299999999,2022.0,4.9848,0.5177656244625597,2.0710624978502388,Cameroon
Nepal,4637.89678,Nepal,2017,86.51818181818182,0.8571015609944113,4.285507804972056,27.42724995182116,Nepal,100.0,2022.0,5.295,0.5711140921129569,2.284456368451828,Nepal
Senegal,4161.45816,Senegal,2017,63.43636363636363,0.6124494122181537,3.0622470610907686,19.59838119098092,Senegal,18.0894502,2022.0,4.9716000000000005,0.5154954769029684,2.061981907611873,Senegal
Tajikistan,4009.32514,Tajikistan,2017,99.23636363636363,0.991905954904606,4.95952977452303,31.740990556947388,Tajikistan,90.829252,2022.0,5.372999999999999,0.5845286004196332,2.3381144016785327,Tajikistan
Guinea,3733.72234,Guinea,2017,38.37272727272728,0.3467912892657546,1.7339564463287729,11.097321256504149,Guinea,64.1310352,2022.0,4.9798,0.5169057200839265,2.067622880335706,Guinea
Zambia,3548.96052,Zambia,2017,37.845454545454544,0.3412025438427442,1.706012719213721,10.918481402967815,Zambia,87.13939,2022.0,3.8458,0.3218794070099404,1.2875176280397616,Zambia
Tanzania,3519.06232,Tanzania,2017,31.57272727272728,0.2747157448448641,1.3735787242243207,8.790903835035653,Tanzania,35.2722416,2022.0,3.72,0.3002442128435317,1.200976851374127,Tanzania
Benin,3474.56254,Benin,2017,38.8,0.3513201002119868,1.756600501059934,11.24224320678358,Benin,1.28035516,2022.0,4.5552,0.4438826402504041,1.7755305610016163,Benin
Comoros,3472.04356,Comoros,2017,78.85454545454546,0.7758720370013491,3.8793601850067456,24.82790518404317,Comoros,0.0,2022.0,3.9526,0.3402469645375433,1.360987858150173,Comoros
Zimbabwe,3246.4468800000004,Zimbabwe,2017,43.72727272727273,0.4035459626132202,2.017729813066101,12.913470803623047,Zimbabwe,60.7259462,2022.0,3.2162,0.2136002476524609,0.8544009906098438,Zimbabwe
Haiti,3150.02492,Haiti,2017,43.04545454545455,0.3963191366351898,1.9815956831759487,12.682212372326074,Haiti,14.7194832,2020.0,3.615,0.2821862208922367,1.128744883568947,Haiti
Sierra Leone,2884.1801600000003,Sierra Leone,2017,22.263636363636365,0.1760454808248217,0.8802274041241087,5.633455386394296,Sierra Leone,89.3333328,2022.0,3.3608,0.2384686822825301,0.9538747291301208,Sierra Leone
Gambia,2805.27946,Gambia,2017,57.76363636363636,0.5523222200809403,2.7616111004047017,17.67431104259009,Gambia,0.0,2022.0,4.680400000000001,0.4654146458913769,1.861658583565508,Gambia
Rwanda,2772.87118,Rwanda,2017,33.445454545454545,0.2945654268645211,1.4728271343226054,9.426093659664676,Rwanda,52.864568,2020.5,3.3415,0.2351494513810063,0.9405978055240256,Rwanda
Uganda,2713.66026,Uganda,2017,31.818181818181817,0.277317402196955,1.386587010984775,8.874156870302562,Uganda,97.653362,2022.0,4.5008,0.4345268806108759,1.738107522443504,Uganda
Lesotho,2601.71086,Lesotho,2017,37.76363636363636,0.3403353247253805,1.7016766236269023,10.890730391212175,Lesotho,100.0,2022.0,3.49175,0.2609895779589309,1.043958311835724,Lesotho
Togo,2599.61234,Togo,2017,48.61818181818182,0.4553863942956253,2.276931971478126,14.57236461746001,Togo,28.1532734,2022.0,4.1770000000000005,0.3788394730505968,1.5153578922023871,Togo
Ethiopia,2590.7934,Ethiopia,2017,41.48181818181818,0.3797456157255732,1.8987280786278664,12.151859703218344,Ethiopia,99.948256,2022.0,4.0732,0.3609878581501736,1.4439514326006946,Ethiopia
Burkina Faso,2441.4049,Burkina Faso,2017,17.136363636363637,0.1216997494700327,0.6084987473501637,3.894391983041048,Burkina Faso,27.393892,2022.0,4.6146,0.4540983042685653,1.8163932170742607,Burkina Faso
Mali,2379.89872,Mali,2017,41.74545454545454,0.3825399884370783,1.912699942185392,12.241279629986508,Mali,36.4213956,2022.0,4.3954,0.4164000963092904,1.6656003852371617,Mali
Afghanistan,2363.04638,Afghanistan,2017,87.75454545454545,0.870206205434573,4.351031027172866,27.846598573906338,Afghanistan,83.95165,2022.0,1.9742,0.0,0.0,Afghanistan
Chad,1743.33424,Chad,2017,9.5,0.0407592985160917,0.2037964925804586,1.3042975525149352,Chad,5.8906928,2022.0,4.3716,0.4123069514669968,1.6492278058679872,Chad
Malawi,1667.94374,Malawi,2017,11.97272727272727,0.0669685873964154,0.3348429369820773,2.142994796685295,Malawi,92.885673,2022.0,3.5052,0.2633027207374539,1.0532108829498157,Malawi
Niger,1646.96902,Niger,2017,17.21818181818182,0.1225669685873964,0.6128348429369821,3.922142994796685,Niger,7.4311936,2022.0,4.771800000000001,0.4811336979327899,1.92453479173116,Niger
Madagascar,1626.0509,Madagascar,2017,26.91818181818182,0.2253806128348429,1.1269030641742148,7.2121796107149745,Madagascar,41.6926438,2022.0,4.1902,0.381109620610188,1.5244384824407522,Madagascar
Liberia,1561.65492,Liberia,2017,20.063636363636363,0.1527269223357101,0.7636346116785507,4.8872615147427245,Liberia,39.4780502,2022.0,4.4670000000000005,0.4287139270113164,1.7148557080452655,Liberia
Mozambique,1488.11044,Mozambique,2017,27.181818181818183,0.228174985546348,1.1408749277317405,7.3015995374831375,Mozambique,82.00248,2022.0,5.0404,0.5273277611529598,2.109311044611839,Mozambique
Somalia,1413.98182,Somalia,2017,50.64545454545455,0.4768741568703026,2.384370784351513,15.259973019849683,Somalia,7.994310199999999,2024.0,4.347,0.4080762219241221,1.6323048876964883,Somalia
Burundi,836.91335,Burundi,2017,8.636363636363637,0.0316053189439198,0.1580265947195991,1.0113702062054344,Burundi,67.1380444,2020.0,3.775,0.3097031610084957,1.238812644033983,Burundi
