country,year,school,norm_school,school_log8_n
Tuvalu,2018.3333333333333,6.388861133333333,0.38916286395494776,3.113302911639582
Tunisia,2018.3333333333333,6.3774370000000005,0.38808843201486165,3.104707456118893
Bhutan,2020.0,6.3267903,0.3833251444592811,3.066601155674249
Laos,2018.3333333333333,6.317242,0.38242713336345546,3.0594170669076437
Guatemala,2018.3333333333333,6.2628729000000005,0.3773137566293719,3.018510053034975
Honduras,2018.3333333333333,6.215869333333333,0.37289310327641423,2.983144826211314
Morocco,2018.3333333333333,6.199232233333333,0.3713283953805208,2.9706271630441665
Haiti,2018.3333333333333,6.1965736,0.37107835273072287,2.968626821845783
Bangladesh,2018.3333333333333,6.1624118999999995,0.36786546816988325,2.942923745359066
East Timor,2018.3333333333333,6.148634133333334,0.36656967862175827,2.932557428974066
Lesotho,2018.3333333333333,6.042700666666666,0.3566067084086378,2.8528536672691023
Gabon,2018.3333333333333,6.026618,0.3550941445892008,2.8407531567136064
Namibia,2018.3333333333333,6.020294333333333,0.3544994080567323,2.8359952644538584
Ghana,2018.3333333333333,5.828553433333333,0.33646630732428934,2.6917304585943147
Togo,2018.3333333333333,5.750857233333334,0.3291590327619606,2.633272262095685
Vanuatu,2018.3333333333333,5.684792833333333,0.32294572104793184,2.5835657683834548
Benin,2018.3333333333333,5.680045533333334,0.32249924072418706,2.5799939257934965
Papua New Guinea,2018.3333333333333,5.538932466666666,0.309227653150206,2.473821225201648
Malawi,2018.3333333333333,5.468911366666667,0.3026422165026444,2.421137732021155
South Africa,2018.3333333333333,5.427805666666667,0.29877625348287357,2.3902100278629885
Marshall Islands,2019.0,5.377844,0.29407739284458123,2.35261914275665
Cameroon,2018.3333333333333,5.358599666666667,0.29226747643379614,2.338139811470369
Congo,2018.3333333333333,5.263411133333332,0.2833150598644908,2.2665204789159263
Burundi,2018.3333333333333,5.208118933333334,0.27811486620566084,2.2249189296452867
Comoros,2018.3333333333333,5.164583233333333,0.2740203633449908,2.1921629067599264
Botswana,2018.3333333333333,5.1425228333333335,0.2719455977868967,2.1755647822951736
Zambia,2018.3333333333333,5.102845333333334,0.2682139560020115,2.145711648016092
Gambia,2018.3333333333333,5.072868533333334,0.2653946584288996,2.1231572674311967
Solomon Islands,2018.3333333333333,5.010249666666667,0.2595053967724068,2.0760431741792544
Pakistan,2018.3333333333333,4.975018566666667,0.25619193587170813,2.049535486973665
Afghanistan,2018.3333333333333,4.957541966666667,0.2545482735739896,2.036386188591917
Eswatini,2018.3333333333333,4.930286466666667,0.25198491240788945,2.0158792992631156
Senegal,2018.3333333333333,4.827480466666667,0.24231607829946747,1.9385286263957398
Nigeria,2018.3333333333333,4.7755616666666665,0.23743315060742284,1.8994652048593827
Sierra Leone,2018.3333333333333,4.677365133333333,0.22819783369185245,1.8255826695348196
Tanzania,2018.3333333333333,4.593022866666667,0.22026550109717624,1.76212400877741
Democratic Republic of Congo,2018.3333333333333,4.5781838,0.21886989700866177,1.7509591760692942
Guinea,2018.3333333333333,4.573374866666667,0.21841762011199758,1.7473409608959807
Madagascar,2018.3333333333333,4.538960666666667,0.2151809880985543,1.7214479047884343
Cote d'Ivoire,2018.3333333333333,4.524140333333333,0.2137871458672495,1.710297166937996
Ethiopia,2018.3333333333333,4.449270633333334,0.20674570170010637,1.653965613600851
Mozambique,2018.3333333333333,4.393355666666667,0.20148693726147496,1.6118954980917997
Uganda,2018.3333333333333,4.372676533333333,0.19954207889031036,1.596336631122483
Burkina Faso,2018.3333333333333,4.361582333333334,0.1984986769549598,1.5879894156396783
Sudan,2018.3333333333333,4.340359,0.19650263694535197,1.5720210955628158
Angola,2018.3333333333333,4.193318466666667,0.18267357517839386,1.4613886014271509
Yemen,2018.3333333333333,4.1625076666666665,0.17977584047470177,1.4382067237976142
Iraq,2018.3333333333333,4.011745133333333,0.1655967271489675,1.32477381719174
Mauritania,2018.3333333333333,3.892280233333333,0.15436113486953612,1.234889078956289
Rwanda,2018.3333333333333,3.854294133333333,0.15078856809983468,1.2063085447986774
Chad,2018.3333333333333,2.7810590000000004,0.049851536569280715,0.3988122925542457
Mali,2018.3333333333333,2.726247066666667,0.04469651166254489,0.3575720933003591
Central African Republic,2020.0,2.6961548,0.041866354528268666,0.33493083622614933
Niger,2018.3333333333333,2.6615173333333333,0.03860872443726234,0.30886979549809873
South Sudan,2018.3333333333333,2.4342308666666668,0.017232587428825295,0.13786069943060236
Liberia,2018.3333333333333,2.2510016,0.0,0.0
