country,year,research,country_c,norm_research,research_log8_n
Saint Kitts and Nevis,2018.0,28.458000000000006,St. Kitts and Nevis,5.177438960797149e-05,0.00041419511686377193
El Salvador,2018.0,27.534000000000002,El Salvador,5.0073004872294496e-05,0.00040058403897835597
Greenland,2018.0,27.238,Greenland,4.952797253272697e-05,0.00039622378026181573
Lesotho,2018.0,26.556,Lesotho,4.827218856115586e-05,0.0003861775084892469
Eritrea,2018.0,21.958,Eritrea,3.980577404314416e-05,0.00031844619234515327
Burundi,2018.0,20.576,Burundi,3.726106224151472e-05,0.00029808849793211775
Central African Republic,2018.0,20.446,Central African Republic,3.702168993021818e-05,0.0002961735194417454
Bahamas,2018.0,19.548000000000002,Bahamas,3.5368179656800495e-05,0.00028294543725440396
Liberia,2018.0,19.330000000000002,Liberia,3.49667707040109e-05,0.0002797341656320872
Suriname,2018.0,18.902,Suriname,3.417868340220381e-05,0.00027342946721763047
Mauritania,2018.0,16.684,Mauritania,3.0094623506390426e-05,0.0002407569880511234
Seychelles,2018.0,16.05,Seychelles,2.892722315745188e-05,0.00023141778525961505
Guyana,2018.0,15.706,Guyana,2.8293807195251786e-05,0.0002263504575620143
Somalia,2018.0,14.018,Somalia,2.518564979933971e-05,0.00020148519839471767
Guinea-Bissau,2018.0,13.966,Guinea-Bissau,2.5089900874821088e-05,0.0002007192069985687
Chad,2018.0,13.95,Chad,2.5060439667276897e-05,0.00020048351733821518
Solomon Islands,2018.0,13.8,Solomon Islands,2.4784240846550117e-05,0.00019827392677240093
Cape Verde,2018.0,13.254,Cabo Verde,2.377887713910462e-05,0.00019023101711283696
East Timor,2018.0,12.91,Timor-Leste,2.314546117690453e-05,0.00018516368941523623
Samoa,2018.0,11.8,Samoa,2.1101589903526326e-05,0.0001688127192282106
San Marino,2018.0,11.324,San Marino,2.022511897908666e-05,0.0001618009518326933
Maldives,2018.0,10.85,Maldives,1.9352330705590022e-05,0.00015481864564472018
Vanuatu,2018.0,10.476,Vanuatu,1.8663674979244576e-05,0.0001493093998339566
Belize,2018.0,10.346,Belize,1.842430266794803e-05,0.00014739442134358423
Dominica,2018.0,9.226,Dominica,1.6362018139854707e-05,0.00013089614511883766
South Sudan,2018.0,8.129999999999999,South Sudan,1.4343925423077665e-05,0.00011475140338462132
Djibouti,2018.0,6.022,Djibouti,1.0462411329130591e-05,8.369929063304473e-05
Andorra,2018.0,6.002,Andorra,1.0425584819700353e-05,8.340467855760282e-05
Palau,2018.0,5.512,Palau,9.523335338659524e-06,7.618668270927619e-05
Tonga,2018.0,5.35,Tonga,9.225040612274596e-06,7.380032489819677e-05
Antigua and Barbuda,2018.0,5.337999999999999,Antigua and Barbuda,9.202944706616453e-06,7.362355765293163e-05
Micronesia (country),2018.0,4.93,"Micronesia, Fed. Sts.",8.4516839142396e-06,6.76134713139168e-05
Turkmenistan,2018.0,4.614,Turkmenistan,7.869825065241843e-06,6.295860052193474e-05
Saint Vincent and the Grenadines,2018.0,4.364,St. Vincent and the Grenadines,7.409493697363868e-06,5.927594957891094e-05
Saint Lucia,2018.0,3.7980000000000005,St. Lucia,6.3673034804881365e-06,5.093842784390509e-05
Comoros,2018.0,3.7659999999999996,Comoros,6.308381065399754e-06,5.046704852319803e-05
Equatorial Guinea,2018.0,3.498,Equatorial Guinea,5.814905839034567e-06,4.651924671227654e-05
Kiribati,2018.0,2.43,Kiribati,3.848370235459863e-06,3.07869618836789e-05
Marshall Islands,2018.0,1.8439999999999999,Marshall Islands,2.769353509153891e-06,2.2154828073231128e-05
Sao Tome and Principe,2018.0,1.464,Sao Tome and Principe,2.0696498299793707e-06,1.6557198639834966e-05
Tuvalu,2018.0,0.41,Tuvalu,1.2889278300583272e-07,1.0311422640466617e-06
Nauru,2018.0,0.33999999999999997,Nauru,0.0,0.0
