country,year,under_5yo_deaths,norm_deaths_pct,norm_with_pts,norm_pts_log5
Bermuda,2014,0.508181818,0.979487507,4.897437536,31.34360023
Hungary,2014,0.511818182,0.9792319,4.896159499,31.33542079
Montenegro,2014,0.518181818,0.978784587,4.893922934,31.32110678
Canada,2014,0.535454545,0.977570452,4.887852259,31.28225446
New Zealand,2014,0.554545455,0.976228513,4.881142565,31.23931242
Serbia,2014,0.555454545,0.976164611,4.880823056,31.23726756
Cuba,2014,0.557272727,0.976036807,4.880184037,31.23317784
Latvia,2014,0.58,0.974439261,4.872196306,31.18205636
United Arab Emirates,2014,0.601818182,0.972905617,4.864528085,31.13297974
Bosnia and Herzegovina,2014,0.62,0.97162758,4.8581379,31.09208256
Slovakia,2014,0.63,0.97092466,4.854623299,31.06958911
