country,year,pm_value,norm_pm_value,norm_with_pts,norm_with_pts_log5
Iraq,2014.5,38.737289,0.4582247613274111,2.2911238066370556,14.663192362477155
Mali,2014.5,39.12664,0.45191510128295065,2.259575506414753,14.46128324105442
Eastern Asia and South-eastern Asia (UN),2014.5,39.313355,0.4488892758061921,2.2444463790309603,14.364456825798147
Nepal,2014.5,39.329415,0.448629014139177,2.243145070695885,14.356128452453664
Sierra Leone,2014.5,39.525063,0.4454584241872349,2.2272921209361747,14.254669573991517
Armenia,2014.5,40.626161,0.42761448888044185,2.1380724444022094,13.683663644174139
Yemen,2014.5,40.715498,0.4261667306895244,2.1308336534476218,13.63733538206478
Cote d'Ivoire,2014.5,41.119393,0.4196213766422576,2.098106883211288,13.427884052552244
Burkina Faso,2014.5,41.333108,0.4161580004177151,2.0807900020885755,13.317056013366884
Mauritania,2014.5,41.77057,0.4090686735574536,2.045343367787268,13.090197553838514
Western Pacific (WHO),2014.5,42.031698,0.40483694201421927,2.024184710071096,12.954782144455017
Chad,2014.5,42.565903,0.39617983841348126,1.9808991920674064,12.6777548292314
United Arab Emirates,2014.5,43.038264,0.388524952903334,1.9426247645166699,12.432798492906688
Eastern Mediterranean (WHO),2014.5,44.438755,0.3658291794101972,1.829145897050986,11.70653374112631
Kyrgyzstan,2014.5,44.672413,0.36204261523887493,1.8102130761943747,11.585363687643998
Ghana,2014.5,46.71888,0.3288784238994238,1.644392119497119,10.524109564781561
South-East Asia (WHO),2014.5,47.06648,0.3232453631612867,1.6162268158064337,10.343851621161175
Mongolia,2014.5,47.10116,0.32268335353413313,1.6134167676706657,10.32586731309226
Uzbekistan,2014.5,48.643669,0.2976860955188192,1.488430477594096,9.525955056602214
Bangladesh,2014.5,49.528525,0.2833464879454445,1.4167324397272223,9.067087614254223
China,2014.5,49.7832,0.27921933103093055,1.3960966551546528,8.935018592989778
Niger,2014.5,50.415592,0.2689710498275014,1.344855249137507,8.607073594480045
Central Asia and Southern Asia (UN),2014.5,52.412439,0.2366109795289777,1.1830548976448885,7.571551344927286
North Korea,2014.5,53.341431,0.22155612233322552,1.1077806116661275,7.089795914663217
Bahrain,2014.5,53.81923,0.2138131108613579,1.0690655543067895,6.842019547563453
India,2014.5,54.545632,0.202041342776478,1.01020671388239,6.465322968847296
Pakistan,2014.5,55.150552,0.19223826135612743,0.9611913067806371,6.151624363396078
Nigeria,2014.5,55.199311,0.19144809332237922,0.9572404666118961,6.126338986316135
Cameroon,2014.5,56.202994,0.17518282490800752,0.8759141245400376,5.6058503970562406
Saudi Arabia,2014.5,57.001537,0.16224196984179862,0.8112098492089931,5.191743034937556
Egypt,2014.5,61.554086,0.08846525801686966,0.4423262900843483,2.8308882565398292
Qatar,2014.5,62.362459,0.07536510206730096,0.3768255103365048,2.4116832661536307
Tajikistan,2014.5,63.495392,0.05700526201770406,0.2850263100885203,1.82416838456653
Kuwait,2014.5,65.130785,0.03050276460768031,0.15251382303840155,0.9760884674457699
Afghanistan,2014.5,67.013023,0.0,0.0,0.0
