country,year,water_pct,norm_water,norm_water_withpts,norm_water_withpts_log5
 Myanmar,2018,69.63011056,0.572630302,2.86315151,18.32416967
 Tajikistan,2018,69.62954066,0.572622282,2.863111412,18.32391304
 Bangladesh,2018,69.50549641,0.570876713,2.854383565,18.26805481
 Eritrea,2015,69.17346052,0.566204253,2.831021267,18.11853611
 Nicaragua,2017,69.13149002,0.565613638,2.828068191,18.09963642
 Mongolia,2018,68.37923914,0.555027849,2.775139247,17.76089118
 Indonesia,2018,66.3760805,0.526839097,2.634195484,16.8588511
 Tonga,2018.153846,66.06326434,0.5224371,2.612185501,16.71798721
 Comoros,2016,65.88940152,0.519990476,2.599952381,16.63969524
 Tuvalu,2018.28,65.24626661,0.510940184,2.55470092,16.35008589
 Mauritania,2018,64.98904062,0.507320461,2.536602304,16.23425475
 Dominican Republic,2018,63.87142197,0.491593161,2.457965807,15.73098117
 Cambodia,2018,61.3475277,0.456076538,2.280382689,14.59444921
 Sao Tome and Principe,2018,60.50205689,0.444178944,2.220894721,14.21372622
 Congo,2017.227273,59.71960084,0.433168104,2.165840519,13.86137932
 Cameroon,2018.235294,59.60495012,0.431554721,2.157773607,13.80975109
 Bolivia ,2018,59.52066045,0.430368584,2.151842922,13.7717947
 Timor-Leste,2017.5625,58.76052075,0.419671783,2.098358915,13.42949706
 Solomon Islands,2017.071429,58.54928784,0.416699281,2.083496407,13.33437701
 Nepal,2018,57.88217608,0.407311583,2.036557917,13.03397067
 Ghana,2018,56.99414363,0.394815056,1.97407528,12.63408179
 Mozambique,2017.363636,55.35354327,0.371728278,1.858641392,11.89530491
 Eswatini,2017.5625,54.85730145,0.364745088,1.823725441,11.67184282
 Kenya,2018,53.00398875,0.33866499,1.693324951,10.83727969
 Equatorial Guinea,2015.166667,52.89472703,0.337127443,1.685637213,10.78807817
 Lao People's Democratic Republic,2017.846154,52.38865466,0.330005915,1.650029577,10.56018929
 Somalia,2018,51.95002347,0.323833431,1.619167154,10.36266978
 Sudan,2018,51.76087427,0.321171694,1.605858472,10.27749422
 Guinea,2018,50.22304824,0.299531173,1.497655864,9.584997531
 Mali,2018,49.61716771,0.29100513,1.45502565,9.312164161
 Gambia,2018,49.33768462,0.287072202,1.435361008,9.18631045
 Haiti,2018,49.11279314,0.283907494,1.419537472,9.085039822
 Zimbabwe,2018,48.80059895,0.27951425,1.397571252,8.944456013
 Rwanda,2018,48.21614841,0.271289774,1.356448868,8.681272757
 Kiribati,2018.153846,48.19246649,0.270956518,1.35478259,8.670608576
 Côte d'Ivoire,2018,46.86389146,0.252260608,1.261303042,8.072339466
 Nigeria,2018,45.35020741,0.230959816,1.154799082,7.390714128
 Zambia,2018,44.74369595,0.222424895,1.112124475,7.11759664
 Senegal,2018,44.03201802,0.212410055,1.062050276,6.797121764
 Burundi,2018,43.38852389,0.203354708,1.01677354,6.507350653
 Burkina Faso,2018,42.97643941,0.197555793,0.987778963,6.321785363
 South Sudan,2018.235294,42.712079,0.193835673,0.969178363,6.202741525
 Benin,2018,42.56033585,0.19170032,0.9585016,6.134410241
 Niger,2018,42.42600928,0.189810056,0.94905028,6.073921795
 Liberia,2018,42.22297758,0.186952963,0.934764816,5.982494824
 Uganda,2018,40.18591416,0.158287097,0.791435486,5.065187113
 Malawi,2018,39.64565474,0.150684485,0.753422424,4.821903511
 Papua New Guinea,2018,38.9501944,0.140897861,0.704489306,4.508731556
 Lesotho,2018,38.08257703,0.128688618,0.643443088,4.118035764
 Guinea-Bissau,2018,37.21367809,0.11646134,0.582306699,3.726762872
 United Republic of Tanzania,2018,36.07846411,0.100486436,0.502432181,3.21556596
 Togo,2018,35.34554017,0.090172619,0.450863096,2.885523813
 Madagascar,2018,32.43878108,0.049268264,0.246341319,1.576584438
 Sierra Leone,2018,31.10375112,0.030481519,0.152407596,0.975408617
 Chad,2018,30.52929526,0.022397689,0.111988445,0.716726051
 Central African Republic,2018,30.02174913,0.015255423,0.076277114,0.488173533
 Ethiopia,2018,29.81572587,0.012356232,0.061781161,0.395399432
 Democratic Republic of the Congo,2018,28.93766313,0,0,0
