country,year,pct_slums,norm_pct_slums,norm_with_pts,norm_log5
Qatar,2022,0.55,0.994161359,4.970806794,31.81316348
Saudi Arabia,2022,0.55,0.994161359,4.970806794,31.81316348
Guam,2022,0.55,0.994161359,4.970806794,31.81316348
Serbia,2017,0.595,0.993683652,4.968418259,31.79787686
Turks and Caicos Islands,2022,0.63,0.993312102,4.96656051,31.78598726
Tonga,2017,0.676666667,0.992816702,4.96408351,31.77013447
Lithuania,2017,0.718333333,0.992374381,4.961871904,31.75598018
Canada,2017,0.766666667,0.991861288,4.95930644,31.73956122
Latvia,2017,0.823333333,0.991259731,4.956298655,31.72031139
Nauru,2017,0.833333333,0.991153574,4.95576787,31.71691437
Jamaica,2022,0.88,0.990658174,4.95329087,31.70106157
British Virgin Islands,2017,0.89,0.990552017,4.952760085,31.69766454
Saint Lucia,2017,1.031666667,0.989048125,4.945240623,31.64953999
United States Virgin Islands,2022,1.1,0.988322718,4.941613588,31.62632696
Marshall Islands,2017,1.15,0.987791932,4.93895966,31.60934183
Ukraine,2015,1.275,0.986464968,4.932324841,31.56687898
French Polynesia,2022,1.5,0.984076433,4.920382166,31.49044586
Anguilla,2016,1.5,0.984076433,4.920382166,31.49044586
