country,year,modtosev_food_insecure_pct,norm_pct_foodinsecure,norm_withpts,norm_withpts_log5
Barbados,2021.0,31.1,0.6548303908091716,3.274151954045858,20.95457250589349
Bangladesh,2018.5,31.5375,0.6496230906705169,3.2481154533525847,20.787938901456542
Argentina,2018.5,32.375,0.6396548304050921,3.1982741520254603,20.468954572962947
Laos,2020.5,32.9,0.6334060702387064,3.167030351193532,20.268994247638606
Antigua and Barbuda,2021.0,33.0,0.6322158302070139,3.1610791510350693,20.230906566624444
Saint Vincent and the Grenadines,2019.5,33.3,0.6286451101119364,3.1432255505596816,20.116643523581963
Senegal,2018.5,33.95,0.620908549905935,3.104542749529675,19.86907359698992
Nepal,2018.5,34.3375,0.6162963697831265,3.0814818489156326,19.72148383306005
Dominica,2021.0,34.4,0.6155524697633188,3.077762348816594,19.6976790324262
Albania,2018.5,35.075,0.6075183495493943,3.037591747746972,19.44058718558062
Libya,2018.5,35.425,0.6033525094384705,3.0167625471923527,19.307280302031057
Cape Verde,2019.5,35.61666667,0.6010712160047185,3.005356080023592,19.23427891215099
Suriname,2021.0,35.8,0.5988891093196236,2.9944455465981177,19.164451498227955
Georgia,2018.5,35.85,0.5982939893037773,2.9914699465188868,19.145407657720874
Cote d'Ivoire,2018.5,38.1625,0.570769688570888,2.8538484428544395,18.264630034268414
Burkina Faso,2019.5,39.8,0.5512795080519232,2.756397540259616,17.64094425766154
Ghana,2018.5,39.8,0.5512795080519232,2.756397540259616,17.64094425766154
Mauritania,2018.5,40.6375,0.5413112477864983,2.7065562389324915,17.321959929167946
Kiribati,2020.0,41.0,0.5369966276716129,2.6849831383580645,17.183892085491614
Iran,2018.5,42.7375,0.5163162071209556,2.581581035604778,16.52211862787058
Belize,2020.5,43.075,0.5122991470139933,2.5614957350699665,16.393572704447784
Philippines,2020.0,43.3,0.5096211069426853,2.548105534713426,16.307875422165928
Trinidad and Tobago,2021.0,43.3,0.5096211069426853,2.548105534713426,16.307875422165928
El Salvador,2018.5,44.3125,0.49756992662179855,2.4878496331089925,15.922237651897554
Peru,2018.5,46.175,0.47540170603152554,2.3770085301576276,15.212854593008817
Honduras,2018.5,46.575,0.47064074590475535,2.3532037295237767,15.060503868952171
Cambodia,2018.5,47.6875,0.4573993255521762,2.286996627760881,14.636778417669639
Djibouti,2021.0,49.2,0.439396945072827,2.196984725364135,14.060702242330464
Jamaica,2018.5,49.575,0.43493354495398007,2.1746677247699004,13.917873438527362
Guatemala,2018.5,50.075,0.42898234479551745,2.1449117239775872,13.727435033456558
Niger,2019.5,50.13333333,0.42828803815003824,2.141440190750191,13.705217220801224
Dominican Republic,2018.5,52.6875,0.39788732396755067,1.9894366198377533,12.732394366961621
Nigeria,2018.5,52.9125,0.39520928389624244,1.9760464194812122,12.646697084679758
Melanesia,2019.5,53.08333333,0.3931759572151091,1.9658797860755457,12.581630630883492
Botswana,2018.5,53.1375,0.3925312438249343,1.9626562191246717,12.560999802397898
East Timor,2020.5,53.7,0.38583614364666396,1.9291807182333198,12.346756596693247
Lesotho,2020.0,53.9,0.383455663583279,1.917278317916395,12.270581234664927
Yemen,2018.5,54.4375,0.37705812341293166,1.8852906170646584,12.065859949213813
Sao Tome and Principe,2021.0,54.6,0.3751239833614314,1.8756199168071568,12.003967467565804
Tanzania,2018.5,55.925,0.3593533029415056,1.796766514707528,11.499305694128179
Namibia,2018.5,56.1375,0.3568240428741589,1.7841202143707946,11.418369371973085
Gambia,2019.0,56.2,0.3560801428543512,1.780400714271756,11.394564571339238
Cameroon,2018.5,56.3125,0.3547411228186971,1.7737056140934855,11.351715930198306
Papua New Guinea,2019.5,57.3,0.3429875025057336,1.714937512528668,10.975600080183476
Eswatini,2021.0,57.66666667,0.3386232890165197,1.6931164450825986,10.835945248528631
Ethiopia,2018.5,57.675,0.3385241023868867,1.6926205119344333,10.832771276380374
Togo,2018.5,58.5,0.3287046221254234,1.6435231106271169,10.518547908013549
Guinea-Bissau,2019.5,62.11666667,0.28565760760620285,1.4282880380310141,9.141043443398491
Madagascar,2020.0,62.44,0.28180916487673846,1.4090458243836923,9.01789327605563
Afghanistan,2018.5,62.475,0.281392580865646,1.4069629043282301,9.004562587700672
Benin,2018.5,62.85,0.2769291807467992,1.384645903733996,8.861733783897574
Kenya,2018.5,64.1375,0.2616048403387581,1.3080242016937904,8.371354890840259
Zimbabwe,2018.5,69.025,0.20343185878978642,1.0171592939489322,6.509819481273166
Burundi,2022.0,70.8,0.1823050982272444,0.9115254911362219,5.83376314327182
Uganda,2018.5,72.45,0.16266613770431793,0.8133306885215896,5.205316406538174
Chad,2018.5,74.15,0.1424320571655452,0.712160285827726,4.557825829297446
Angola,2019.5,74.25,0.14124181713385275,0.7062090856692638,4.519738148283288
Democratic Republic of Congo,2020.5,74.4,0.13945645708631393,0.6972822854315697,4.462606626762046
Somalia,2021.0,78.86666667,0.08629240229770707,0.43146201148853536,2.7613568735266263
Comoros,2021.0,79.7,0.07637373540661085,0.38186867703305427,2.4439595330115473
Congo,2021.5,79.9,0.07399325534322576,0.3699662767161288,2.3677841709832244
Malawi,2018.5,80.2125,0.07027375524418666,0.3513687762209333,2.2487601678139733
Liberia,2018.571429,80.68571429,0.06464136932891718,0.3232068466445859,2.0685238185253496
Haiti,2020.5,82.65,0.04126165447168173,0.20630827235840865,1.3203729430938154
Sierra Leone,2018.5,84.1375,0.023556834000255655,0.11778417000127828,0.753818688008181
South Sudan,2019.5,86.11666667,0.0,0.0,0.0
